이름,경도,위도
에이피피에이사운즈,127.4606071,36.63626905
티인레드,127.5002763,36.63074736
꽃과노닐다,127.4721498,36.61668736
파티스리백오,127.4655142,36.60998201
투썸플레이스청주성화점,127.4478288,36.61728588
달콤달콤모모랑,127.4499366,36.62990279
할리스청주내수DI점,127.5124665,36.68695271
던킨청주동남지구점,127.5186488,36.61616063
우지커피청주성안길점,127.4903965,36.63487055
헤리위드,127.4728022,36.64297974
카페빈정,127.4407872,36.60762495
빽다방청주내수점,127.5366862,36.72343131
파란만잔청주성화점,127.4460663,36.6179323
투썸플레이스청주내수점,127.5301896,36.71957663
쿼드커피청주오송점,127.3320626,36.63024457
요거트퍼플동남지구점,127.5157515,36.61417269
플로로케이크,127.4656668,36.65766017
맘스케익성화점,127.4475812,36.61698944
커피하우스큐,127.4895241,36.64013673
카페소우버,127.4275704,36.63094937
붕어가커피를만나다,127.4832308,36.62255436
베어윙커피,127.5063441,36.60289482
라떼뚜,127.4877,36.65409365
7000RPM카페,127.4114241,36.60332339
나율커피,127.414861,36.63567117
오송모먼트,127.3275415,36.63189715
괴다,127.4840356,36.64577318
굿.에이블,127.5120181,36.6496662
리터킹청주점,127.4609928,36.63157267
더블스탑에스프레소바,127.4429448,36.61747535
홍자다방,127.4581214,36.65833824
댕청댕청,127.4759799,36.67599332
퀄리티커피청주,127.4300779,36.62546146
프란체스카타로카페,127.4834972,36.62762664
카페에바나나과일바구니오창,127.4202775,36.71677142
지음이JIEUM:2,127.4306999,36.62271978
쿼드커피복대가경,127.4411678,36.62930479
스티즈커피북문로점,127.4892028,36.63883141
하설당커피,127.4435067,36.62774617
책과책사이책갈피,127.431133,36.6262146
카라멜고유,127.4744849,36.61101898
꾸몽갤러리카페,127.5122679,36.57081615
희미한첫사랑,127.5016043,36.63380562
카페공삼,127.4579834,36.64070371
델유고,127.4919982,36.66695304
카페그레이스부엌,127.469318,36.61240015
연이네커피,127.4656324,36.64636919
메가엠지씨커피청주내덕점,127.4810338,36.65578784
카페컨테이너플러스,127.4803322,36.66527951
빽다방청주용암현대점,127.504419,36.60933707
하이코비coffee,127.4964975,36.65866205
숲이그린정원,127.4114988,36.75180144
솔인스타,127.5142372,36.6234789
투썸플레이스청주두리이비인후과점,127.4442321,36.60803569
빵근용,127.4647221,36.63072915
공차청주강서점,127.4297385,36.62475079
버터캐스팅,127.4931568,36.63640009
비유니크커피,127.4896221,36.6697473
카페작은틈,127.4881007,36.65556084
인차로555베이커리카페,127.5461765,36.55204813
리베트,127.4254972,36.5323542
이디야금천스타힐스점,127.5015197,36.62420895
카페다올,127.4822094,36.61293442
아성당,127.4854009,36.60850591
정글비,127.4277195,36.71248262
우리쌀빵,127.4215421,36.64086526
골든밀,127.4497758,36.6195494
이디야청주,127.4522119,36.66720987
공생,127.4901095,36.63545747
오창2산단,127.4498605,36.73209041
오송바이오산업단지,127.327209,36.63258292
청주동남,127.516399,36.61571983
커피니청주공항국제선점,127.4959317,36.72209422
커피니청주공항국내선점,127.4959317,36.72209422
청주서문,127.4860053,36.63534812
현대충청,127.4265514,36.64486647
청주서현,127.4286364,36.61751867
더벤티청주,127.4840135,36.61543225
충북대,127.4597102,36.63399266
오창과학단지,127.4232758,36.71649947
청주사직DT,127.4811562,36.63590848
청주용암DT,127.5039041,36.60751896
청주비하DT,127.4221328,36.63844814
청주이마트,127.4746146,36.60117809
청주분평DT,127.4948174,36.60580884
청주지웰시티,127.4251083,36.64274496
충북도청,127.4910636,36.63428207
청주주성,127.4969937,36.67146494
오송파라곤,127.3153947,36.61983669
충북대학교병원,127.4615859,36.62416309
충북청주지역자활센터,127.4857625,36.62338211
투썸플레이스청주산남,127.4709556,36.60597762
수준,127.5106984,36.63780403
청주강서,127.4296191,36.62539103
